log_id,equipment_id,equipment_tag,date,alarm_code,severity,technician_notes,action_taken,downtime_hours,resolved
LOG-0030,Compressor-1,C-301,2026-02-15,VFD_FAULT_14,Critical,"VFD comms fault, network congestion suspected given timing. Nothing else abnormal noted during walkdown.","Unit stopped manually per procedure, corrective work performed, returned to service.",1.5,yes
LOG-0031,Motor-1,M-201,2026-02-16,SENSOR_FAIL_10,Warning,"Vibration sensor signal out of range, likely a damaged cable. Checked it out, seems consistent with what we've seen before.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0032,Pump-2,P-102,2026-02-17,POWER_PHASE_14,Critical,"Phase imbalance tripped the unit, upstream breaker found loose. Ops was notified.","Unit tripped, replaced faulty component, restarted and verified normal readings.",1.0,yes
LOG-0033,Compressor-1,C-301,2026-02-18,HIGH_HIGH_PRESS_06,Critical,"High-high pressure trip, electronic protection engaged ahead of the relief valve. Ops was notified.","Unit tripped, replaced faulty component, restarted and verified normal readings.",7.0,yes
LOG-0034,Motor-1,M-201,2026-02-18,ESTOP_ACT_18,Safety,E-stop activated during scheduled work nearby -- will keep an eye on it next shift.,"Investigated E-stop cause, work area secured, interlock reset and unit restarted per procedure.",1.6,yes
LOG-0035,Pump-3,P-103,2026-02-19,LUBE_LOW_10,Warning,"Responded to alarm on Pump-3 (P-103). Grease level low at DE bearing, no visible leak at the fitting.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0036,Motor-1,M-201,2026-02-19,ENCODER_FAULT_19,Warning,"Alarm came in, went and looked. Speed feedback signal dropped out briefly.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0037,Motor-1,M-201,2026-02-21,MISALIGN_15,Warning,"1x/2x vibration signature consistent with alignment drift. Checked it out, seems consistent with what we've seen before.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0038,Compressor-1,C-301,2026-02-22,DISCH_PRESS_LOW_07,Warning,"Alarm came in, went and looked. Discharge pressure low, plant demand exceeded combined lead/trim capacity briefly.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0039,Compressor-2,C-302,2026-02-23,HIGH_HIGH_PRESS_06,Critical,"Responded to alarm on Compressor-2 (C-302). High-high pressure trip, electronic protection engaged ahead of the relief valve.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",4.7,yes
LOG-0040,Pump-3,P-103,2026-02-23,LEAK_DET_17,Critical,"Baseplate drip tray leak sensor tripped, fluid found pooling under the casing. Nothing else abnormal noted during walkdown.","Unit tripped, replaced faulty component, restarted and verified normal readings.",8.8,yes
LOG-0041,Pump-1,P-101,2026-02-24,CAV_DET_08,Warning,"Acoustic cavitation signature picked up, unit was running past BEP -- will keep an eye on it next shift.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0042,Compressor-2,C-302,2026-02-28,DISCH_PRESS_LOW_07,Warning,"Discharge pressure low, plant demand exceeded combined lead/trim capacity briefly -- will keep an eye on it next shift.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0043,Pump-1,P-101,2026-03-04,TEMP_HIGH_02,Critical,"Per procedure, confirmed winding thermistor tripped on phase B before taking action.","Unit stopped manually per procedure, corrective work performed, returned to service.",8.4,yes
LOG-0044,Motor-1,M-201,2026-03-04,COOLING_FAN_20,Warning,"Auxiliary cooling fan not drawing current at low VFD speed. Checked it out, seems consistent with what we've seen before.",Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0045,Motor-1,M-201,2026-03-07,STARTS_EXCEED_14,Warning,"Starts-per-hour limit reached, next start inhibited by the controller. Ops was notified.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0046,Compressor-1,C-301,2026-03-07,PH_LOSS_13,Critical,"Phase imbalance tripped the unit, disconnect terminal found loose. Ops was notified.","Unit stopped manually per procedure, corrective work performed, returned to service.",3.3,yes
LOG-0047,Motor-1,M-201,2026-03-07,LUBE_LOW_08,Warning,"Per procedure, confirmed grease level low, no leak found at the housing seals before taking action.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0048,Compressor-1,C-301,2026-03-08,DISCH_TEMP_01,Warning,"Alarm came in, went and looked. Discharge air temp climbing, oil cooler fins found dusty.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0049,Compressor-2,C-302,2026-03-09,VFD_FAULT_14,Critical,"Per procedure, confirmed VFD comms fault, network congestion suspected given timing before taking action.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",7.8,yes
LOG-0050,Pump-1,P-101,2026-03-10,SEAL_FAIL_03,Critical,"P-101: seal chamber moisture sensor active, slow weep at the drain.","Unit tripped, replaced faulty component, restarted and verified normal readings.",7.4,yes
LOG-0051,Pump-2,P-102,2026-03-10,LEAK_DET_17,Critical,"Baseplate drip tray leak sensor tripped, fluid found pooling under the casing -- will keep an eye on it next shift.","Unit tripped, replaced faulty component, restarted and verified normal readings.",1.6,yes
LOG-0052,Pump-1,P-101,2026-03-11,SPEED_DEV_18,Warning,P-101: commanded vs actual speed deviation flagged briefly during a ramp.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0053,Compressor-2,C-302,2026-03-11,OIL_LEVEL_LOW_04,Warning,"Oil level trending down slowly, no visible external leak found. Ops was notified.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0054,Compressor-2,C-302,2026-03-13,SEP_DP_HIGH_08,Warning,"Separator DP still rising week over week, scheduled for replacement. Ops was notified.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0055,Compressor-2,C-302,2026-03-14,SEP_DP_HIGH_08,Warning,"Per procedure, confirmed separator element DP climbing toward end-of-life relative to the clean baseline before taking action.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0056,Compressor-1,C-301,2026-03-15,CAPACITY_FAULT_17,Warning,Responded to alarm on Compressor-1 (C-301). Capacity control not reaching commanded output during trim modulation.,"Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0057,Compressor-2,C-302,2026-03-15,SENSOR_FAIL_15,Warning,Oil temperature sensor reading out of valid range. Nothing else abnormal noted during walkdown.,Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0058,Compressor-2,C-302,2026-03-15,MIN_PRESS_VALVE_18,Warning,"Per procedure, confirmed minimum pressure valve cracking pressure suspect at low turndown before taking action.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0059,Compressor-1,C-301,2026-03-17,CONDENSATE_FAULT_16,Warning,"C-301: automatic condensate drain not cycling, valve found stuck.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0060,Pump-3,P-103,2026-03-18,CAV_DET_08,Warning,"Per procedure, confirmed cavitation noise audible at the pump, suction strainer DP elevated before taking action.",Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0061,Compressor-2,C-302,2026-03-18,CAPACITY_FAULT_17,Warning,Capacity control not reaching commanded output during trim modulation. Ops was notified.,Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,no
LOG-0062,Compressor-2,C-302,2026-03-19,OIL_TEMP_02,Warning,"Compressor-2 was running in the trim role this cycle; oil temp trend compared against Compressor-1 (base-load) to rule out an ambient/duty effect rather than a unit fault, per Section 1.8 role-adjustment guidance.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0063,Compressor-1,C-301,2026-03-20,SEP_DP_HIGH_08,Warning,"Separator DP still rising week over week, scheduled for replacement. Nothing else abnormal noted during walkdown.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0064,Motor-1,M-201,2026-03-21,OVLD_CUR_03,Critical,"Per procedure, confirmed overcurrent trip during a demand increase, shaft rotated freely after isolation before taking action.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",7.0,yes
LOG-0065,Pump-2,P-102,2026-03-22,MOTOR_OVLD_09,Critical,Responded to alarm on Pump-2 (P-102). Motor tripped on overload during ramp to speed.,"Unit tripped, replaced faulty component, restarted and verified normal readings.",1.9,yes
LOG-0066,Pump-3,P-103,2026-03-23,SPEED_DEV_18,Warning,"Commanded vs actual speed deviation flagged briefly during a ramp. Checked it out, seems consistent with what we've seen before.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0067,Pump-2,P-102,2026-03-26,FLOW_LOW_05,Critical,"Flow dropped below minimum stable flow, discharge valve found partially closed. Checked it out, seems consistent with what we've seen before.","Unit stopped manually per procedure, corrective work performed, returned to service.",3.5,yes
LOG-0068,Motor-1,M-201,2026-03-29,VIB_HIGH_05,Warning,"Alarm came in, went and looked. Vibration on DE housing climbed above baseline.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0069,Compressor-2,C-302,2026-03-31,SEP_DP_HIGH_08,Warning,"Separator DP still rising week over week, scheduled for replacement -- will keep an eye on it next shift.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0070,Motor-1,M-201,2026-03-31,STARTS_EXCEED_14,Warning,"Per procedure, confirmed starts-per-hour limit reached, next start inhibited by the controller before taking action.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0071,Motor-2,M-202,2026-04-01,MISALIGN_15,Warning,1x/2x vibration signature consistent with alignment drift. Ops was notified.,Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0072,Pump-1,P-101,2026-04-04,PRESS_HIGH_07,Warning,"Discharge pressure reading high, downstream valve found throttled. Ops was notified.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0073,Motor-1,M-201,2026-04-04,ENCODER_FAULT_19,Warning,Speed feedback signal dropped out briefly. Nothing else abnormal noted during walkdown.,"Cleaned/replaced affected component, confirmed alarm cleared.",0.0,no
LOG-0074,Compressor-2,C-302,2026-04-04,STARTS_EXCEED_19,Warning,"Starts-per-hour limit reached, restart inhibited by controller. Ops was notified.",Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0075,Motor-1,M-201,2026-04-04,WIND_TEMP_01,Warning,Winding RTD on one phase reading high relative to the other two -- will keep an eye on it next shift.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0076,Compressor-2,C-302,2026-04-05,PH_LOSS_13,Critical,"C-302: phase imbalance tripped the unit, disconnect terminal found loose.","Unit remained tripped pending parts, isolated and tagged out.",3.0,yes
LOG-0077,Motor-2,M-202,2026-04-05,ESTOP_ACT_18,Safety,E-stop activated during scheduled work nearby. Nothing else abnormal noted during walkdown.,"Investigated E-stop cause, work area secured, interlock reset and unit restarted per procedure.",2.6,yes
LOG-0078,Motor-1,M-201,2026-04-07,VIB_HIGH_05,Warning,"Compared vibration trend against sister unit Motor-2 since both run continuously in parallel -- M-202 baseline unchanged, so this looks unit-specific to Motor-1 rather than a supply-side or ambient effect.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0079,Motor-1,M-201,2026-04-07,LUBE_LOW_08,Warning,"Responded to alarm on Motor-1 (M-201). Grease level low, no leak found at the housing seals.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0080,Motor-1,M-201,2026-04-10,BRG_TEMP_02,Warning,"M-201: NDE bearing running hot, no obvious cause found on inspection.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0081,Motor-1,M-201,2026-04-10,RESONANCE_16,Warning,Structural resonance flagged at running speed. Nothing else abnormal noted during walkdown.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0082,Pump-3,P-103,2026-04-14,VIB_HIGH_04,Warning,"Per procedure, confirmed NDE vibration spiked during startup ramp before taking action.",Cleared alarm after visual inspection found no active concern.,0.0,no
LOG-0083,Motor-1,M-201,2026-04-14,LOCKED_ROTOR_11,Critical,"Failed to start, rotor would not turn by hand after isolation. Checked it out, seems consistent with what we've seen before.","Unit remained tripped pending parts, isolated and tagged out.",6.8,yes
LOG-0084,Compressor-1,C-301,2026-04-15,HIGH_HIGH_PRESS_06,Critical,"High-high pressure trip, electronic protection engaged ahead of the relief valve. Nothing else abnormal noted during walkdown.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",5.7,yes
LOG-0085,Pump-2,P-102,2026-04-17,COOLANT_LOW_20,Warning,"Alarm came in, went and looked. Seal flush cooling water flow dropped below setpoint.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0086,Motor-1,M-201,2026-04-18,BRG_TEMP_02,Warning,"NDE bearing running hot, no obvious cause found on inspection -- will keep an eye on it next shift.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0087,Motor-1,M-201,2026-04-18,ENCODER_FAULT_19,Warning,"Speed feedback signal dropped out briefly. Checked it out, seems consistent with what we've seen before.",Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0088,Pump-1,P-101,2026-04-19,POWER_PHASE_14,Critical,"Phase imbalance tripped the unit, upstream breaker found loose. Checked it out, seems consistent with what we've seen before.","Unit remained tripped pending parts, isolated and tagged out.",3.6,yes
LOG-0089,Compressor-2,C-302,2026-04-21,SENSOR_FAIL_15,Warning,Oil temperature sensor reading out of valid range. Nothing else abnormal noted during walkdown.,Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0090,Pump-1,P-101,2026-04-21,MOTOR_OVLD_09,Critical,Motor tripped on overload during ramp to speed -- will keep an eye on it next shift.,"Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",1.6,yes
LOG-0091,Pump-3,P-103,2026-04-23,PRESS_HIGH_07,Warning,"P-103: discharge pressure reading high, downstream valve found throttled.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0092,Pump-3,P-103,2026-04-23,COUPL_MISALIGN_11,Warning,"1x running speed signature correlated DE/NDE, consistent with alignment drift. Nothing else abnormal noted during walkdown.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0093,Pump-3,P-103,2026-04-26,POWER_PHASE_14,Critical,"Phase imbalance tripped the unit, upstream breaker found loose. Ops was notified.","Unit stopped manually per procedure, corrective work performed, returned to service.",6.8,yes
LOG-0094,Compressor-2,C-302,2026-04-29,OIL_PRESS_03,Critical,"Responded to alarm on Compressor-2 (C-302). Oil injection differential low, unit was near minimum turndown at the time.","Unit tripped, replaced faulty component, restarted and verified normal readings.",8.7,yes
LOG-0095,Pump-1,P-101,2026-04-29,SPEED_DEV_18,Warning,"Alarm came in, went and looked. Commanded vs actual speed deviation flagged briefly during a ramp.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0096,Pump-3,P-103,2026-04-30,CAV_DET_08,Warning,"Per procedure, confirmed acoustic cavitation signature picked up, unit was running past BEP before taking action.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0097,Compressor-2,C-302,2026-05-01,DISCH_TEMP_01,Warning,"Per procedure, confirmed discharge air temp climbing, oil cooler fins found dusty before taking action.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0098,Compressor-2,C-302,2026-05-03,DISCH_TEMP_01,Warning,"Responded to alarm on Compressor-2 (C-302). Discharge air temp climbing, oil cooler fins found dusty.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0099,Pump-2,P-102,2026-05-03,BEARING_WEAR_16,Warning,Bearing defect frequency trend rising over past several weeks. Nothing else abnormal noted during walkdown.,Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0100,Motor-2,M-202,2026-05-03,BRG_WEAR_07,Warning,"M-202: bearing defect frequency trend rising, flagged for next outage.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0101,Compressor-1,C-301,2026-05-04,INLET_FILT_DP_09,Warning,"Inlet filter DP high, element overdue for replacement. Ops was notified.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0102,Pump-2,P-102,2026-05-04,COOLANT_LOW_20,Warning,P-102: seal flush cooling water flow dropped below setpoint.,Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0103,Compressor-2,C-302,2026-05-06,HIGH_HIGH_PRESS_06,Critical,"Responded to alarm on Compressor-2 (C-302). High-high pressure trip, electronic protection engaged ahead of the relief valve.","Unit tripped, replaced faulty component, restarted and verified normal readings.",8.2,yes
LOG-0104,Pump-1,P-101,2026-05-06,ESTOP_ACT_19,Safety,"Per procedure, confirmed local E-stop pushbutton was activated during nearby work before taking action.","Confirmed cause of E-stop activation, cleared interlock, verified safe before restart.",0.8,yes
LOG-0105,Pump-3,P-103,2026-05-08,ESTOP_ACT_19,Safety,Local E-stop pushbutton was activated during nearby work. Nothing else abnormal noted during walkdown.,"Investigated E-stop cause, work area secured, interlock reset and unit restarted per procedure.",0.8,yes
LOG-0106,Motor-1,M-201,2026-05-10,BRG_WEAR_07,Warning,"Bearing defect frequency trend rising, flagged for next outage -- will keep an eye on it next shift.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0107,Motor-2,M-202,2026-05-10,LUBE_LOW_08,Warning,"Per procedure, confirmed grease level low, no leak found at the housing seals before taking action.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0108,Compressor-1,C-301,2026-05-11,AFTERCOOLER_FOUL_10,Warning,"Approach temp rising, fins found fouled with dust -- will keep an eye on it next shift.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0109,Compressor-2,C-302,2026-05-15,STARTS_EXCEED_19,Warning,"Starts-per-hour limit reached, restart inhibited by controller. Ops was notified.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0110,Pump-3,P-103,2026-05-17,SPEED_DEV_18,Warning,Commanded vs actual speed deviation flagged briefly during a ramp. Nothing else abnormal noted during walkdown.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0111,Compressor-1,C-301,2026-05-24,MOTOR_OVLD_12,Critical,"Alarm came in, went and looked. Motor overload trip, airend rotated freely by hand after isolation.","Unit tripped, replaced faulty component, restarted and verified normal readings.",4.3,yes
LOG-0112,Motor-2,M-202,2026-05-25,LOCKED_ROTOR_11,Critical,"M-202: failed to start, rotor would not turn by hand after isolation.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",8.8,yes
LOG-0113,Compressor-2,C-302,2026-05-26,VFD_FAULT_14,Critical,"C-302: VFD comms fault, network congestion suspected given timing.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",3.9,yes
LOG-0114,Pump-2,P-102,2026-05-27,COUPL_MISALIGN_11,Warning,Pump-2 was in lag/trim rotation this week per the 168-hr DCS schedule; noted for comparison against Pump-1's baseline before calling this unit-specific.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0115,Pump-1,P-101,2026-05-30,POWER_PHASE_14,Critical,"Phase imbalance tripped the unit, upstream breaker found loose. Ops was notified.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",6.1,yes
LOG-0116,Compressor-1,C-301,2026-05-31,SENSOR_FAIL_15,Warning,"Oil temperature sensor reading out of valid range. Checked it out, seems consistent with what we've seen before.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0117,Motor-1,M-201,2026-06-02,INSUL_FAIL_06,Critical,"Alarm came in, went and looked. Insulation resistance trend degraded, megger reading below the advisory line.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",7.2,yes
LOG-0118,Motor-2,M-202,2026-06-04,ESTOP_ACT_18,Safety,"Alarm came in, went and looked. E-stop activated during scheduled work nearby.","Confirmed cause of E-stop activation, cleared interlock, verified safe before restart.",2.5,yes
LOG-0119,Motor-1,M-201,2026-06-05,STARTS_EXCEED_14,Warning,"Starts-per-hour limit reached, next start inhibited by the controller -- will keep an eye on it next shift.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,no
LOG-0120,Pump-3,P-103,2026-06-05,CAV_DET_08,Warning,"Acoustic cavitation signature picked up, unit was running past BEP -- will keep an eye on it next shift.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0121,Pump-3,P-103,2026-06-06,SUCT_STRAIN_15,Warning,"Suction strainer DP climbing, due for a clean per the schedule -- will keep an eye on it next shift.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0122,Compressor-2,C-302,2026-06-06,SENSOR_FAIL_15,Warning,"Oil temperature sensor reading out of valid range. Checked it out, seems consistent with what we've seen before.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,no
LOG-0123,Pump-3,P-103,2026-06-06,TEMP_HIGH_01,Warning,"Alarm came in, went and looked. NDE bearing temp trending up over the last week.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0124,Pump-2,P-102,2026-06-07,BEARING_WEAR_16,Warning,Bearing defect frequency trend rising over past several weeks -- will keep an eye on it next shift.,Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0125,Pump-3,P-103,2026-06-07,MOTOR_OVLD_09,Critical,"Per procedure, confirmed motor tripped on overload during ramp to speed before taking action.","Unit remained tripped pending parts, isolated and tagged out.",1.5,yes
LOG-0126,Pump-3,P-103,2026-06-07,COOLANT_LOW_20,Warning,Seal flush cooling water flow dropped below setpoint. Ops was notified.,Cleared alarm after visual inspection found no active concern.,0.0,yes
